id_barrio,cantidad
1,12555
2,22120
3,12639
4,42456
5,12992
6,12960
7,241658
8,67992
9,36998
10,31153
11,28102
12,19916
13,14259
14,15488
15,13339
16,8705
17,20812
18,19188
19,22974
20,24888
21,19742
22,14960
23,39880
24,23472
25,15572
26,15082
27,17945
28,22872
29,15733
30,35979
31,22557
32,23411
33,12093
34,34485
35,28306
36,31103
37,37424
38,20145
39,20199
40,17295
41,18557
42,14096
43,8607
44,8767
45,11273
46,17956
47,9600
48,13866
49,11444
50,15926
51,16812
52,14692
53,20319
54,21879
55,29873
56,20247
57,24196
58,13429
59,28849
60,16030
61,29502
62,20879

